mode,test id,chunk gap,epochs current,epochs,n_split_vnf1,n_combiner_vnf1,used chunk num,used data length,used data shape,cache time,processing time
0,3,0.002,1,50,1,1,64,16384,"[1, 64, 256]",0.135,0.912
0,3,0.002,2,50,1,1,64,16384,"[1, 64, 256]",0.131,0.927
0,3,0.002,3,50,1,1,64,16384,"[1, 64, 256]",0.132,0.915
0,3,0.002,4,50,1,1,64,16384,"[1, 64, 256]",0.131,0.917
0,3,0.002,5,50,1,1,64,16384,"[1, 64, 256]",0.131,0.924
0,3,0.002,6,50,1,1,64,16384,"[1, 64, 256]",0.136,0.915
0,3,0.002,7,50,1,1,64,16384,"[1, 64, 256]",0.139,0.909
0,3,0.002,8,50,1,1,64,16384,"[1, 64, 256]",0.131,0.905
0,3,0.002,9,50,1,1,64,16384,"[1, 64, 256]",0.131,0.917
0,3,0.002,10,50,1,1,64,16384,"[1, 64, 256]",0.131,0.913
0,3,0.002,11,50,1,1,64,16384,"[1, 64, 256]",0.131,0.912
0,3,0.002,12,50,1,1,64,16384,"[1, 64, 256]",0.163,1.164
0,3,0.002,13,50,1,1,64,16384,"[1, 64, 256]",0.131,0.915
0,3,0.002,14,50,1,1,64,16384,"[1, 64, 256]",0.131,0.914
0,3,0.002,15,50,1,1,64,16384,"[1, 64, 256]",0.131,0.917
0,3,0.002,16,50,1,1,64,16384,"[1, 64, 256]",0.131,0.917
0,3,0.002,17,50,1,1,64,16384,"[1, 64, 256]",0.135,0.908
0,3,0.002,18,50,1,1,64,16384,"[1, 64, 256]",0.132,0.927
0,3,0.002,19,50,1,1,64,16384,"[1, 64, 256]",0.135,0.923
0,3,0.002,20,50,1,1,64,16384,"[1, 64, 256]",0.131,0.916
0,3,0.002,21,50,1,1,64,16384,"[1, 64, 256]",0.131,0.913
0,3,0.002,22,50,1,1,64,16384,"[1, 64, 256]",0.131,0.912
0,3,0.002,23,50,1,1,64,16384,"[1, 64, 256]",0.131,0.916
0,3,0.002,24,50,1,1,64,16384,"[1, 64, 256]",0.131,0.923
0,3,0.002,25,50,1,1,64,16384,"[1, 64, 256]",0.132,0.919
0,3,0.002,26,50,1,1,64,16384,"[1, 64, 256]",0.132,0.912
0,3,0.002,27,50,1,1,64,16384,"[1, 64, 256]",0.132,0.911
0,3,0.002,28,50,1,1,64,16384,"[1, 64, 256]",0.133,0.909
0,3,0.002,29,50,1,1,64,16384,"[1, 64, 256]",0.131,0.921
0,3,0.002,30,50,1,1,64,16384,"[1, 64, 256]",0.131,0.927
0,3,0.002,31,50,1,1,64,16384,"[1, 64, 256]",0.131,0.917
0,3,0.002,32,50,1,1,64,16384,"[1, 64, 256]",0.133,1.01
0,3,0.002,33,50,1,1,64,16384,"[1, 64, 256]",0.133,0.913
0,3,0.002,34,50,1,1,64,16384,"[1, 64, 256]",0.131,0.913
0,3,0.002,35,50,1,1,64,16384,"[1, 64, 256]",0.131,0.914
0,3,0.002,36,50,1,1,64,16384,"[1, 64, 256]",0.131,0.909
0,3,0.002,37,50,1,1,64,16384,"[1, 64, 256]",0.131,0.913
0,3,0.002,38,50,1,1,64,16384,"[1, 64, 256]",0.133,0.92
0,3,0.002,39,50,1,1,64,16384,"[1, 64, 256]",0.132,0.923
0,3,0.002,40,50,1,1,64,16384,"[1, 64, 256]",0.131,0.911
0,3,0.002,41,50,1,1,64,16384,"[1, 64, 256]",0.131,0.905
0,3,0.002,42,50,1,1,64,16384,"[1, 64, 256]",0.131,0.912
0,3,0.002,43,50,1,1,64,16384,"[1, 64, 256]",0.131,0.921
0,3,0.002,44,50,1,1,64,16384,"[1, 64, 256]",0.131,0.919
0,3,0.002,45,50,1,1,64,16384,"[1, 64, 256]",0.131,0.922
0,3,0.002,46,50,1,1,64,16384,"[1, 64, 256]",0.133,0.916
0,3,0.002,47,50,1,1,64,16384,"[1, 64, 256]",0.131,0.923
0,3,0.002,48,50,1,1,64,16384,"[1, 64, 256]",0.131,1.003
0,3,0.002,49,50,1,1,64,16384,"[1, 64, 256]",0.131,0.916
0,3,0.002,50,50,1,1,64,16384,"[1, 64, 256]",0.131,0.915
