t2,t3,t4,t5,t6,t7,t8,t9,t10,t15
0.011233216,0.731083328,1.35658752,0.013640152,9e-06,0.011277,3e-06,0.011302,0.092877072,0.093147648
0.011346544,0.740765584,1.041772544,0.013614872,3e-06,0.011165,2e-06,0.011198,0.047247848,0.063420672
0.011662304,0.711656992,1.008887808,0.0120832,3e-06,0.011128,2e-06,0.011083,0.065531584,0.062013696
0.01053984,0.67249248,1.015186688,0.023354832,5e-06,0.011776,1e-06,0.012211,0.047263112,0.048144384
0.010480528,0.701658992,1.068013312,0.012716696,6e-06,0.011242,2e-06,0.011347,0.04687664,0.060882432
0.010510752,0.69281008,1.01506688,0.01267804,3e-06,0.01115,2e-06,0.011013,0.044394664,0.094933248
0.02936576,0.704994816,1.061217792,0.013646392,3e-06,0.011245,3e-06,0.011164,0.058598192,0.05401088
0.01549796,0.732932376,0.968166912,0.012703712,3e-06,0.011036,2e-06,0.011177,0.142985488,0.086994944
0.011831352,0.704699592,0.986855168,0.01342424,3e-06,0.011234,2e-06,0.011124,0.048354072,0.051679232
0.02062684,0.823316072,0.945725184,0.012835744,4e-06,0.012551,5e-06,0.011872,0.045772768,0.045833984
0.010124064,0.825628896,0.956781056,0.014074048,5e-06,0.011456,2e-06,0.011024,0.096743528,0.053709056
0.01658636,0.728265864,0.947279104,0.013502032,5e-06,0.011692,2e-06,0.011119,0.045111008,0.055492352
0.011130728,0.672385176,1.009086208,0.013350616,5e-06,0.011218,2e-06,0.011038,0.046644304,0.04777856
0.014638696,0.750015384,1.009213952,0.012653664,3e-06,0.011752,2e-06,0.011095,0.04246912,0.054319872
0.015000272,0.73703096,0.947231744,0.013048296,6e-06,0.011479,2e-06,0.011052,0.070381856,0.070742272
0.01184572,0.691936168,0.98072832,0.012977512,3e-06,0.011712,2e-06,0.011094,0.040781856,0.0677184
0.04102096,0.696020704,1.05074816,0.013391136,5e-06,0.011368,4e-06,0.011254,0.051808392,0.04601856
0.011690944,0.700572992,1.021769472,0.013681536,4e-06,0.011225,2e-06,0.011334,0.04593996,0.051698176
0.026573232,0.70029832,1.088296704,0.013522976,5e-06,0.011343,5e-06,0.011362,0.080155752,0.068269056
0.010780648,0.705911064,1.004301056,0.01243488,5e-06,0.011233,2e-06,0.011143,0.047118248,0.08430976
0.011011568,0.709379088,0.979579648,0.012653264,5e-06,0.011407,2e-06,0.011096,0.048958848,0.049722112
0.010109576,0.70019724,1.102301184,0.013214576,6e-06,0.011196,1e-06,0.011403,0.047849952,0.072390912
0.013307104,0.740955424,0.948368384,0.012643192,6e-06,0.011479,3e-06,0.010911,0.048361072,0.059445248
0.010477704,0.699538808,1.10048128,0.013331912,4e-06,0.012105,2e-06,0.011486,0.047748976,0.08373248
0.01097208,0.724824144,0.96911744,0.014052416,5e-06,0.012646,5e-06,0.011595,0.10166356,0.04670848
0.010993776,0.754359696,1.019595264,0.01382604,1e-05,0.012551,5e-06,0.011671,0.043829824,0.070102272
0.01063604,0.695063544,1.058020608,0.013360848,4e-06,0.01103,3e-06,0.011224,0.047418152,0.059335424
0.014656016,0.704481264,0.980137728,0.013623008,2e-06,0.011741,3e-06,0.011218,0.076598272,0.054708736
0.01066132,0.72685676,0.97158528,0.01272296,3e-06,0.011184,3e-06,0.011093,0.046130936,0.06115328
0.045969384,0.717439,1.016119296,0.013425704,5e-06,0.011144,2e-06,0.011066,0.045326,0.046421248
