t0,t1
1718911181.257676,1718911181.8503544
1718911187.532612,1718911187.8531811
1718911193.426817,1718911193.75933
1718911199.3405223,1718911199.656922
1718911205.138879,1718911205.4433987
1718911211.0393414,1718911211.362439
1718911217.0177042,1718911217.350465
1718911222.9358356,1718911223.2469423
1718911228.8328028,1718911229.1480703
1718911234.6159866,1718911234.9400811
1718911240.5350144,1718911240.8397214
1718911246.3259833,1718911246.653187
1718911252.2153735,1718911252.5362158
1718911258.122697,1718911258.4357316
1718911263.9375916,1718911264.2493622
1718911269.7176335,1718911270.0374198
1718911275.4492152,1718911275.7552023
1718911281.2285686,1718911281.5409088
1718911287.0160592,1718911287.3385212
1718911292.9447227,1718911293.2473578
1718911298.8150084,1718911299.0620215
1718911304.5137157,1718911304.7584236
1718911310.2210686,1718911310.5519173
1718911317.3229797,1718911317.6382027
1718911323.027188,1718911323.3399117
1718911328.939151,1718911329.2651076
1718911334.735406,1718911335.0445971
1718911340.639508,1718911340.9458413
1718911346.5370953,1718911346.8529398
1718911352.3475091,1718911352.6441374
