mode,test id,chunk gap,epochs current,epochs,n_split_vnf0,n_combiner_vnf0,used chunk num,used data length,used data shape,cache time,processing time
0,3,0.002,1,30,1,1,0,10240,"[1, 160, 64]",0.73,1.411
0,3,0.002,2,30,1,1,0,10240,"[1, 160, 64]",0.739,1.094
0,3,0.002,3,30,1,1,0,10240,"[1, 160, 64]",0.71,1.076
0,3,0.002,4,30,1,1,0,10240,"[1, 160, 64]",0.671,1.077
0,3,0.002,5,30,1,1,0,10240,"[1, 160, 64]",0.7,1.118
0,3,0.002,6,30,1,1,0,10240,"[1, 160, 64]",0.692,1.062
0,3,0.002,7,30,1,1,0,10240,"[1, 160, 64]",0.703,1.113
0,3,0.002,8,30,1,1,0,10240,"[1, 160, 64]",0.732,1.018
0,3,0.002,9,30,1,1,0,10240,"[1, 160, 64]",0.703,1.042
0,3,0.002,10,30,1,1,0,10240,"[1, 160, 64]",0.822,0.997
0,3,0.002,11,30,1,1,0,10240,"[1, 160, 64]",0.824,1.057
0,3,0.002,12,30,1,1,0,10240,"[1, 160, 64]",0.726,0.996
0,3,0.002,13,30,1,1,0,10240,"[1, 160, 64]",0.671,1.059
0,3,0.002,14,30,1,1,0,10240,"[1, 160, 64]",0.748,1.056
0,3,0.002,15,30,1,1,0,10240,"[1, 160, 64]",0.736,1.02
0,3,0.002,16,30,1,1,0,10240,"[1, 160, 64]",0.69,1.026
0,3,0.002,17,30,1,1,0,10240,"[1, 160, 64]",0.694,1.107
0,3,0.002,18,30,1,1,0,10240,"[1, 160, 64]",0.699,1.075
0,3,0.002,19,30,1,1,0,10240,"[1, 160, 64]",0.699,1.173
0,3,0.002,20,30,1,1,0,10240,"[1, 160, 64]",0.705,1.055
0,3,0.002,21,30,1,1,0,10240,"[1, 160, 64]",0.706,1.031
0,3,0.002,22,30,1,1,0,10240,"[1, 160, 64]",0.699,1.155
0,3,0.002,23,30,1,1,0,10240,"[1, 160, 64]",0.728,1.0
0,3,0.002,24,30,1,1,0,10240,"[1, 160, 64]",0.698,1.155
0,3,0.002,25,30,1,1,0,10240,"[1, 160, 64]",0.724,1.077
0,3,0.002,26,30,1,1,0,10240,"[1, 160, 64]",0.753,1.07
0,3,0.002,27,30,1,1,0,10240,"[1, 160, 64]",0.694,1.109
0,3,0.002,28,30,1,1,0,10240,"[1, 160, 64]",0.703,1.059
0,3,0.002,29,30,1,1,0,10240,"[1, 160, 64]",0.725,1.021
0,3,0.002,30,30,1,1,0,10240,"[1, 160, 64]",0.716,1.065
0,3,0.002,1,10,1,1,0,10240,"[1, 160, 64]",0.706,2.041
0,3,0.002,2,10,1,1,0,10240,"[1, 160, 64]",0.792,2.655
0,3,0.002,3,10,1,1,0,10240,"[1, 160, 64]",0.979,1.351
0,3,0.002,4,10,1,1,0,10240,"[1, 160, 64]",1.252,2.911
0,3,0.002,5,10,1,1,0,10240,"[1, 160, 64]",0.658,1.265
0,3,0.002,6,10,1,1,0,10240,"[1, 160, 64]",0.685,1.06
0,3,0.002,7,10,1,1,0,10240,"[1, 160, 64]",0.696,1.021
0,3,0.002,8,10,1,1,0,10240,"[1, 160, 64]",0.69,1.038
0,3,0.002,9,10,1,1,0,10240,"[1, 160, 64]",0.695,1.044
0,3,0.002,10,10,1,1,0,10240,"[1, 160, 64]",0.712,1.007
0,3,0.003,1,10,1,1,0,10240,"[1, 160, 64]",0.993,1.142
0,3,0.003,2,10,1,1,0,10240,"[1, 160, 64]",1.003,1.191
0,3,0.003,3,10,1,1,0,10240,"[1, 160, 64]",0.972,1.355
0,3,0.003,4,10,1,1,0,10240,"[1, 160, 64]",1.005,1.23
0,3,0.003,5,10,1,1,0,10240,"[1, 160, 64]",0.996,1.102
0,3,0.003,6,10,1,1,0,10240,"[1, 160, 64]",0.993,1.131
0,3,0.003,7,10,1,1,0,10240,"[1, 160, 64]",0.959,1.145
0,3,0.003,8,10,1,1,0,10240,"[1, 160, 64]",0.964,1.046
0,3,0.003,9,10,1,1,0,10240,"[1, 160, 64]",0.985,1.028
0,3,0.003,10,10,1,1,0,10240,"[1, 160, 64]",0.996,1.036
0,3,0.004,1,10,1,1,0,10240,"[1, 160, 64]",1.227,1.076
0,3,0.004,2,10,1,1,0,10240,"[1, 160, 64]",1.265,1.208
0,3,0.004,3,10,1,1,0,10240,"[1, 160, 64]",1.224,1.029
0,3,0.004,4,10,1,1,0,10240,"[1, 160, 64]",1.233,1.038
0,3,0.004,5,10,1,1,0,10240,"[1, 160, 64]",1.285,1.098
0,3,0.004,6,10,1,1,0,10240,"[1, 160, 64]",1.254,1.073
0,3,0.004,7,10,1,1,0,10240,"[1, 160, 64]",1.245,1.086
0,3,0.004,8,10,1,1,0,10240,"[1, 160, 64]",1.289,1.073
0,3,0.004,9,10,1,1,0,10240,"[1, 160, 64]",1.223,1.063
0,3,0.004,10,10,1,1,0,10240,"[1, 160, 64]",1.253,1.111
0,3,0.005,1,10,1,1,0,10240,"[1, 160, 64]",1.461,1.137
0,3,0.005,2,10,1,1,0,10240,"[1, 160, 64]",1.429,1.078
0,3,0.005,3,10,1,1,0,10240,"[1, 160, 64]",1.457,1.115
0,3,0.005,4,10,1,1,0,10240,"[1, 160, 64]",1.45,1.068
0,3,0.005,5,10,1,1,0,10240,"[1, 160, 64]",1.485,1.207
0,3,0.005,6,10,1,1,0,10240,"[1, 160, 64]",1.569,1.116
0,3,0.005,7,10,1,1,0,10240,"[1, 160, 64]",1.477,1.127
0,3,0.005,8,10,1,1,0,10240,"[1, 160, 64]",1.527,1.06
0,3,0.005,9,10,1,1,0,10240,"[1, 160, 64]",1.46,1.134
0,3,0.005,10,10,1,1,0,10240,"[1, 160, 64]",1.492,1.081
0,3,0.006,1,10,1,1,0,10240,"[1, 160, 64]",1.816,1.07
0,3,0.006,2,10,1,1,0,10240,"[1, 160, 64]",1.776,1.129
0,3,0.006,3,10,1,1,0,10240,"[1, 160, 64]",1.853,1.153
0,3,0.006,4,10,1,1,0,10240,"[1, 160, 64]",1.79,1.126
0,3,0.006,5,10,1,1,0,10240,"[1, 160, 64]",1.785,1.131
0,3,0.006,6,10,1,1,0,10240,"[1, 160, 64]",1.811,1.203
0,3,0.006,7,10,1,1,0,10240,"[1, 160, 64]",1.794,1.177
0,3,0.006,8,10,1,1,0,10240,"[1, 160, 64]",1.938,1.148
0,3,0.006,9,10,1,1,0,10240,"[1, 160, 64]",1.767,1.153
0,3,0.006,10,10,1,1,0,10240,"[1, 160, 64]",1.764,1.126
0,3,0.007,1,10,1,1,0,10240,"[1, 160, 64]",2.035,1.175
0,3,0.007,2,10,1,1,0,10240,"[1, 160, 64]",2.265,1.171
0,3,0.007,3,10,1,1,0,10240,"[1, 160, 64]",2.061,1.16
0,3,0.007,4,10,1,1,0,10240,"[1, 160, 64]",2.042,1.165
0,3,0.007,5,10,1,1,0,10240,"[1, 160, 64]",2.046,1.149
0,3,0.007,6,10,1,1,0,10240,"[1, 160, 64]",2.048,1.149
0,3,0.007,7,10,1,1,0,10240,"[1, 160, 64]",2.025,1.166
0,3,0.007,8,10,1,1,0,10240,"[1, 160, 64]",2.042,1.157
0,3,0.007,9,10,1,1,0,10240,"[1, 160, 64]",2.049,1.172
0,3,0.007,10,10,1,1,0,10240,"[1, 160, 64]",2.055,1.152
0,3,0.008,1,10,1,1,0,10240,"[1, 160, 64]",2.453,1.184
0,3,0.008,2,10,1,1,0,10240,"[1, 160, 64]",2.399,1.135
0,3,0.008,3,10,1,1,0,10240,"[1, 160, 64]",2.407,1.21
0,3,0.008,4,10,1,1,0,10240,"[1, 160, 64]",2.366,1.209
0,3,0.008,5,10,1,1,0,10240,"[1, 160, 64]",2.419,1.115
0,3,0.008,6,10,1,1,0,10240,"[1, 160, 64]",2.415,1.162
0,3,0.008,7,10,1,1,0,10240,"[1, 160, 64]",2.366,1.199
0,3,0.008,8,10,1,1,0,10240,"[1, 160, 64]",2.405,1.114
0,3,0.008,9,10,1,1,0,10240,"[1, 160, 64]",2.4,1.175
0,3,0.008,10,10,1,1,0,10240,"[1, 160, 64]",2.421,1.196
0,3,0.009,1,10,1,1,0,10240,"[1, 160, 64]",2.62,1.143
0,3,0.009,2,10,1,1,0,10240,"[1, 160, 64]",2.664,1.131
0,3,0.009,3,10,1,1,0,10240,"[1, 160, 64]",2.64,1.17
0,3,0.009,4,10,1,1,0,10240,"[1, 160, 64]",2.611,1.17
0,3,0.009,5,10,1,1,0,10240,"[1, 160, 64]",2.638,1.128
0,3,0.009,6,10,1,1,0,10240,"[1, 160, 64]",2.612,1.195
0,3,0.009,7,10,1,1,0,10240,"[1, 160, 64]",2.603,1.135
0,3,0.009,8,10,1,1,0,10240,"[1, 160, 64]",2.639,1.275
0,3,0.009,9,10,1,1,0,10240,"[1, 160, 64]",2.665,1.137
0,3,0.009,10,10,1,1,0,10240,"[1, 160, 64]",2.681,1.483
0,3,0.01,1,10,1,1,0,10240,"[1, 160, 64]",3.181,1.211
0,3,0.01,2,10,1,1,0,10240,"[1, 160, 64]",2.905,1.216
0,3,0.01,3,10,1,1,0,10240,"[1, 160, 64]",2.838,1.158
0,3,0.01,4,10,1,1,0,10240,"[1, 160, 64]",2.859,1.179
0,3,0.01,5,10,1,1,0,10240,"[1, 160, 64]",2.854,1.196
0,3,0.01,6,10,1,1,0,10240,"[1, 160, 64]",2.868,1.213
0,3,0.01,7,10,1,1,0,10240,"[1, 160, 64]",2.927,1.249
0,3,0.01,8,10,1,1,0,10240,"[1, 160, 64]",2.863,1.196
0,3,0.01,9,10,1,1,0,10240,"[1, 160, 64]",2.87,1.223
0,3,0.01,10,10,1,1,0,10240,"[1, 160, 64]",2.856,1.206
